gcid,Category
copying_supply_store,Copying supply store
corporate_campus,Corporate campus
corporate_entertainment_service,Corporate entertainment service
corporate_gift_supplier,Corporate gift supplier
corporate_office,Corporate office
correctional_services_department,Correctional services department
cosmetic_dentist,Cosmetic dentist
cosmetic_products_manufacturer,Cosmetic products manufacturer
cosmetic_surgeon,Cosmetic surgeon
cosmetics_and_parfumes_supplier,Cosmetics and perfumes supplier
cosmetics_industry,Cosmetics industry
cosmetics_store,Cosmetics store
cosmetics_wholesaler,Cosmetics wholesaler
cosplay_cafe,Cosplay cafe
costa_rican_restaurant,Costa Rican restaurant
costume_jewelry_shop,Costume jewelry shop
costume_rental_service,Costume rental service
costume_store,Costume store
cottage,Cottage
cottage_rental,Cottage rental
cotton_exporter,Cotton exporter
cotton_mill,Cotton mill
cotton_supplier,Cotton supplier
council,Council
counselor,Counselor
countertop_contractor,Countertop contractor
countertop_store,Countertop store
country_club,Country club
country_food_restaurant,Country food restaurant
country_house,Country house
country_park,Country park
county_government_office,County government office
courier_service,Courier service
court_executive_officer,Court executive officer
court_reporter,Court reporter
couscous_restaurant,Couscous restaurant
couture_store,Couture store
coworking_space,Coworking space
crab_dish_restaurant,Crab house
craft_store,Craft store
cramming_school,Cramming school
crane_dealer,Crane dealer
crane_rental_agency,Crane rental agency
crane_service,Crane service
craniosacral_therapy,Craniosacral therapy
creche,Creche
credit_counseling_service,Credit counseling service
credit_reporting_agency,Credit reporting agency
credit_union,Credit union
cremation_service,Cremation service
creole_restaurant,Creole restaurant
creperie,Crêperie
cricket_club,Cricket club
cricket_ground,Cricket ground
cricket_shop,Cricket shop
crime_victim_service,Crime victim service
criminal_law_attorney,Criminal justice attorney
croatian_restaurant,Croatian restaurant
crop_grower,Crop grower
croquet_club,Croquet club
cruise_agency,Cruise agency
cruise_line,Cruise line company
cruise_terminal,Cruise terminal
crushed_stone_supplier,Crushed stone supplier
cuban_restaurant,Cuban restaurant
culinary_school,Culinary school
cultural_association,Cultural association
cultural_center,Cultural center
cultural_landmark,Cultural landmark
cupcake_shop,Cupcake shop
cupra_dealer,Cupra dealer
cured_ham_bar,Cured ham bar
cured_ham_store,Cured ham store
cured_ham_warehouse,Cured ham warehouse
curling_club,Curling club
curling_hall,Curling hall
currency_exchange_service,Currency exchange service
curtain_and_upholstery_cleaner,Curtain and upholstery cleaning service
curtain_store,Curtain store
curtain_supplier_and_maker,Curtain supplier and maker
custom_confiscated_goods_store,Custom confiscated goods store
custom_home_builder,Custom home builder
custom_label_printer,Custom label printer
custom_t_shirt_store,Custom t-shirt store
custom_tailor,Custom tailor
customs_broker,Customs broker
customs_consultant,Customs consultant
customs_department,Customs department
customs_office,Customs office
customs_warehouse,Customs warehouse
cutlery_store,Cutlery store
cycle_rickshaw_stand,Cycle rickshaw stand
cycling_park,Cycling park
czech_restaurant,Czech restaurant
dacia_dealer,Dacia dealer
daihatsu_dealer,Daihatsu dealer
dairy,Dairy
dairy_farm,Dairy farm
dairy_farm_equipment_supplier,Dairy farm equipment supplier
dairy_store,Dairy store
dairy_supplier,Dairy supplier
dan_dan_noodle_restaurant,Dan Dan noodle restaurant
dance_club,Dance club
dance_company,Dance company
dance_conservatory,Dance conservatory
dance_hall,Dance hall
dance_pavillion,Dance pavillion
dance_restaurant,Dance restaurant
dance_school,Dance school
dance_store,Dance store
danish_restaurant,Danish restaurant
dart_bar,Dart bar
dart_supply_store,Dart supply store
data_entry_service,Data entry service
data_recovery_service,Data recovery service
database_management_company,Database management company
dating_service,Dating service
day_care_center,Day care center
day_spa,Day spa
deaf_church,Deaf church
deaf_service,Deaf service
dealer_of_fiat_professional,Dealer of Fiat Professional
debris_removal_service,Debris removal service
debt_collecting,Debt collecting
debt_collection_agency,Debt collection agency
decal_supplier,Decal supplier
deck_builder,Deck builder
deli,Deli
delivery_chinese_restaurant,Delivery Chinese restaurant
delivery_service,Delivery service
demolition_contractor,Demolition contractor
denim_wear_store,Jeans shop
dental_clinic,Dental clinic
dental_hygienist,Dental hygienist
dental_implants_periodontist,Dental implants periodontist
dental_implants_provider,Dental implants provider
dental_insurance_agency,Dental insurance agency
dental_lab,Dental laboratory
dental_radiology,Dental radiology
dental_school,Dental school
dental_supply_store,Dental supply store
dentist,Dentist
denture_care_center,Denture care center
department_for_regional_development,Department for Regional Development
department_of_education,Department of education
department_of_finance,Department of finance
department_of_housing,Department of housing
department_of_motor_vehicles,Department of motor vehicles
department_of_public_safety,Department of Public Safety
department_of_social_services,Department of Social Services
department_of_transportation,Department of Transportation
department_store,Department store
dept_of_city_treasure,Dept of City Treasure
dept_of_state_treasure,Department of State Treasure
dermatologist,Dermatologist
desalination_plant,Desalination plant
design_agency,Design agency
design_engineer,Design engineer
design_institute,Design institute
desktop_publishing_service,Desktop publishing service
dessert_buffet,Sweets and dessert buffet
dessert_restaurant,Dessert restaurant
dessert_shop,Dessert shop
detention_center,Detention center
dhaba,Dhaba
diabetes_center,Diabetes center
diabetes_equipment_supplier,Diabetes equipment supplier
diabetologist,Diabetologist
diagnostic_center,Diagnostic center
dialysis_center,Dialysis center
diamond_buyer,Diamond buyer
diamond_dealer,Diamond dealer
diaper_service,Diaper service
diesel_engine_dealer,Diesel engine dealer
diesel_engine_repair_service,Diesel engine repair service
diesel_fuel_supplier,Diesel fuel supplier
dietitian,Dietitian
digital_printer,Digital printer
digital_printing_service,Digital printing service
dim_sum_restaurant,Dim sum restaurant
diner,Diner
dinner_theater,Dinner theater
direct_mail_advertising,Direct mail advertising
dirt_supplier,Dirt supplier
disability_equipment_supplier,Disability equipment supplier
disability_services_and_support_organization,Disability services & support organisation
disabled_sports_center,Disabled sports center
disc_golf_course,Disc golf course
disciples_of_christ_church,Disciples of Christ Church
disco,Disco club
discount_store,Discount store
discount_supermarket,Discount supermarket
display_home_center,Display home centre
display_stand_manufacturer,Display stand manufacturer
disposable_tableware_supplier,Disposable tableware supplier
distance_learning_center,Distance learning center
distillery,Distillery
distribution_service,Distribution service
district_attorney,District attorney
district_council,District council
district_government_office,District government office
district_justice,District Justice
district_office,District office
dive_club,Dive club
dive_shop,Dive shop
diving_center,Diving center
diving_service,Diving contractor
divorce_attorney,Divorce lawyer
divorce_service,Divorce service
dj,DJ service
dj_supply_store,DJ supply store
do_it_yourself_store,Do-it-yourself shop
dock_builder,Dock builder
doctor,Doctor
dodge_dealer,Dodge dealer
dog_breeder,Dog breeder
dog_cafe,Dog cafe
dog_day_care_center,Dog day care center
dog_park,Dog park
dog_trainer,Dog trainer
dog_walker,Dog walker
dogsled_ride_service,Dogsled ride service
dojo_restaurant,Dojo restaurant
doll_restoration_service,Doll restoration service
doll_store,Doll store
dollar_store,Dollar store
domestic_abuse_treatment_center,Domestic abuse treatment center
domestic_airport,Domestic airport
dominican_restaurant,Dominican restaurant
donations_center,Donations center
doner_kebab_restaurant,Doner kebab restaurant
donut_shop,Donut shop
door_manufacturer,Door manufacturer
door_shop,Door shop
door_supplier,Door supplier
door_warehouse,Door warehouse
double_glazing_supplier,Double glazing installer
doula,Doula
down_home_cooking_restaurant,Down home cooking restaurant
drafting_equipment_supplier,Drafting equipment supplier
drafting_service,Drafting service
drainage_service,Drainage service
drama_school,Drama school
drama_theater,Drama theater
drawing_lessons,Drawing lessons
dress_and_tuxedo_rental_service,Dress and tuxedo rental service
dress_shop,Dress store
dressmaker,Dressmaker
dried_flower_shop,Dried flower shop
dried_seafood_store,Dried seafood store
drilling_contractor,Drilling contractor
drilling_equipment_supplier,Drilling equipment supplier
drinking_water_fountain,Drinking water fountain
drive_in_movie_theater,Drive-in movie theater
driver_vehicle_licensing_agency,Driver and vehicle licensing agency
drivers_license_office,Driver's license office
drivers_license_training_school,Drivers license training school
driveshaft_shop,Driveshaft shop
driving_school,Driving school
driving_test_centre,Driving test center
drone_shop,Drone shop
drug_testing_service,Drug testing service
drugstore,Drug store
drum_school,Drum school
drum_store,Drum store
dry_cleaner,Dry cleaner
dry_fruit_store,Dry fruit store
dry_ice_supplier,Dry ice supplier
dry_wall_contractor,Dry wall contractor
dry_wall_supply_store,Dry wall supply store
ds_automobiles_dealer,DS Automobiles dealer
ducati_dealer,Ducati dealer
dude_ranch,Dude ranch
dump_truck_dealer,Dump truck dealer
dumpling_restaurant,Dumpling restaurant
dumpster_rental_service,Dumpster rental service
durum_restaurant,Durum restaurant
dutch_restaurant,Dutch restaurant
duty_free_store,Duty free store
dvd_store,DVD store
dye_store,Dye store
dyeworks,Dyeworks
dynamometer_supplier,Dynamometer supplier
e_commerce_agency,E commerce agency
e_commerce_service,E-commerce service
ear_piercing_service,Ear piercing service
earth_works_company,Earth works company
east_african_restaurant,East African restaurant
east_javanese_restaurant,East Javanese restaurant
eastern_european_restaurant,Eastern European restaurant
eastern_orthodox_church,Eastern Orthodox Church
eating_disorder_treatment_center,Eating disorder treatment center
eclectic_restaurant,Eclectic restaurant
ecological_park,Ecological park
ecologists_association,Ecologists association
economic_consultant,Economic consultant
economic_development_agency,Economic development agency
ecuadorian_restaurant,Ecuadorian restaurant
education_center,Education center
educational_consultant,Educational consultant
educational_institution,Educational institution
educational_supply_store,Educational supply store
educational_testing_service,Educational testing service
eftpos_equipment_supplier,EFTPOS equipment supplier
egg_supplier,Egg supplier
egyptian_restaurant,Egyptian restaurant
elder_law_attorney,Elder law attorney
electric_motor_repair_shop,Electric motor repair shop
electric_motor_scooter_dealer,Electric motor scooter dealer
electric_motor_store,Electric motor store
electric_motor_vehicle_dealer,Electric motor vehicle dealer
electric_motorcycle_dealer,Electric motorcycle dealer
electric_utility_company,Electric utility company
electric_utility_manufacturer,Electrical equipment manufacturer
electric_vehicle_charging_station,Electric vehicle charging station
electric_vehicle_charging_station_contractor,Electric vehicle charging station contractor
electrical_appliance_wholesaler,Electrical appliance wholesaler
electrical_engineer,Electrical engineer
electrical_equipment_supplier,Electrical equipment supplier
electrical_installation_service,Electrical installation service
electrical_repair_shop,Electrical repair shop
electrical_substation,Electrical substation
electrical_supply_store,Electrical supply store
electrical_wholesaler,Electrical wholesaler
electrician,Electrician
electrolysis_hair_removal_service,Electrolysis hair removal service
electronic_engineer,Electronic engineer
electronic_parts_supplier,Electronic parts supplier
electronics_accessories_wholesaler,Electronics accessories wholesaler
electronics_company,Electronics company
electronics_engineer,Electronics engineer
electronics_exporter,Electronics exporter
electronics_hire_shop,Electronics hire shop
electronics_manufacturer,Electronics manufacturer
electronics_repair_shop,Electronics repair shop
electronics_store,Electronics store
electronics_vending_machine,Electronics vending machine
electronics_wholesaler,Electronics wholesaler
elementary_school,Elementary school
elevator_manufacturer,Elevator manufacturer
elevator_service,Elevator service
embassy,Embassy
embossing_service,Embossing service
embroidery_service,Embroidery service
embroidery_shop,Embroidery shop
emergency_call_station,Emergency call booth
emergency_care_physician,Emergency care physician
emergency_care_service,Emergency care service
emergency_dental_service,Emergency dental service
emergency_locksmith_service,Emergency locksmith service
emergency_management_ministry,Emergency management ministry
emergency_room,Emergency room
emergency_training,Emergency training
emergency_training_school,Emergency training school
emergency_veterinarian_service,Emergency veterinarian service
employment_agency,Employment agency
employment_attorney,Employment attorney
employment_center,Employment center
employment_consultant,Employment consultant
employment_search_service,Employment search service
endocrinologist,Endocrinologist
endodontist,Endodontist
endoscopist,Endoscopist
energy_equipment_and_solutions,Energy equipment and solutions
energy_supplier,Energy supplier
engine_rebuilding_service,Engine rebuilding service
engineer,Engineer
engineering_consultant,Engineering consultant
engineering_school,Engineering school
english_language_camp,English language camp
english_language_instructor,English language instructor
english_language_school,English language school
english_restaurant,English restaurant
engraver,Engraver
entertainer,Entertainer
entertainment_agency,Entertainment agency
envelope_supplier,Envelope supplier
environment_office,Environment office
environment_renewable_natural_resources,Environment renewable natural resources
environmental_consultant,Environmental consultant
environmental_engineer,Environmental engineer
environmental_health_service,Environmental health service
environmental_organization,Environmental organization
environmental_protection_organization,Environmental protection organization
episcopal_church,Episcopal church
equestrian_club,Equestrian club
equestrian_facility,Equestrian facility
equestrian_store,Equestrian store
equipment_exporter,Equipment exporter
equipment_importer,Equipment importer
equipment_rental_agency,Equipment rental agency
equipment_supplier,Equipment supplier
eritrean_restaurant,Eritrean restaurant
erotic_massage,Erotic massage
escape_room_center,Escape room center
escrow_service,Escrow service
espresso_bar,Espresso bar
estate_appraiser,Estate appraiser
estate_liquidator,Estate liquidator
estate_planning_attorney,Estate planning attorney
ethiopian_restaurant,Ethiopian restaurant
ethnographic_museum,Ethnographic museum
european_restaurant,European restaurant
evangelical_church,Evangelical church
evening_dress_rental_service,Evening dress rental service
evening_school,Evening school
event_management_company,Event management company
event_planner,Event planner
event_technology_service,Event technology service
event_ticket_seller,Event ticket seller
event_venue,Event venue
excavating_contractor,Excavating contractor
executive_search_firm,Executive search firm
executive_suite_rental_agency,Executive suite rental agency
executor,Executor
exhibit,Exhibit
exhibition_and_trade_center,Exhibition and trade centre
exhibition_planner,Exhibition planner
exporter,Exporter
extended_stay_hotel,Extended stay hotel
extremadurian_restaurant,Extremaduran restaurant
eye_care_center,Eye care center
eyebrow_bar,Eyebrow bar
eyelash_salon,Eyelash salon
fabric_product_manufacturer,Fabric product manufacturer
fabric_store,Fabric store
fabric_wholesaler,Fabric wholesaler
fabrication_engineer,Fabrication engineer
facial_spa,Facial spa
factory_equipment_supplier,Factory equipment supplier
faculty_of_arts,Faculty of arts
faculty_of_law,Faculty of law
faculty_of_pharmacy,Faculty of pharmacy
faculty_of_psychology,Faculty of psychology
faculty_of_science,Faculty of science
faculty_of_sports,Faculty of sports
fair_trade_organization,Office of a fair trade organization
fairground,Fairground
falafel_restaurant,Falafel restaurant
family_counselor,Family counselor
family_day_care_service,Family day care service
family_law_attorney,Family law attorney
family_planning_center,Family planning center
family_planning_counselor,Family planning counselor
family_practice_physician,Family practice physician
family_restaurant,Family restaurant
family_service_center,Family service center
farm,Farm
farm_bureau,Farm bureau
farm_equipment_repair_service,Farm equipment repair service
farm_equipment_supplier,Farm equipment supplier
farm_household_tour,Farm household tour
farm_school,Farm school
farm_shop,Farm shop
farmers_market,Farmers' market
farmstay,Farmstay
fashion_accessories_store,Fashion accessories store
fashion_design_school,Fashion design school
fashion_designer,Fashion designer
fast_food_restaurant,Fast food restaurant
fastener_supplier,Fastener supplier
favela,Favela
fax_service,Fax service
federal_agency_for_technical_relief,Federal Agency for Technical Relief
federal_credit_union,Federal credit union
federal_government_office,Federal government office
federal_police,Federal police
federal_reserve_bank,Federal reserve bank
feed_manufacturer,Feed manufacturer
feed_store,Animal feed store
felt_boots_store,Felt boots store
fence_contractor,Fence contractor
fence_supply_store,Fence supply store
fencing_salon,Fencing salon
fencing_school,Fencing school
feng_shui_consultant,Feng shui consultant
feng_shui_shop,Feng shui shop
ferrari_dealer,Ferrari dealer
ferris_wheel,Ferris wheel
ferry_service,Ferry service
fertility_clinic,Fertility clinic
fertility_physician,Fertility physician
fertilizer_supplier,Fertilizer supplier
festival,Festival
festival_hall,Festival hall
fiat_dealer,Fiat dealer
fiber_optic_products_supplier,Fiber optic products supplier
fiberglass_repair_service,Fiberglass repair service
fiberglass_supplier,Fiberglass supplier
figurine_shop,Figurine shop
filipino_restaurant,Filipino restaurant
film_and_photograph_library,Film and photograph library
film_production_company,Film production company
filtration_plant,Filtration plant
finance_broker,Finance broker
financial_audit,Financial audit
financial_consultant,Financial consultant
financial_institution,Financial institution
financial_planner,Financial planner
fine_dining_restaurant,Fine dining restaurant
fingerprinting_service,Fingerprinting service
finishing_materials_supplier,Finishing materials supplier
finnish_restaurant,Finnish restaurant
fire_alarm_supplier,Fire alarm supplier
fire_damage_restoration_service,Fire damage restoration service
fire_department_equipment_supplier,Fire department equipment supplier
fire_fighters_academy,Fire fighters academy
fire_protection_consultant,Fire protection consultant
fire_protection_equipment_supplier,Fire protection equipment supplier
fire_protection_service,Fire protection service
fire_protection_system_supplier,Fire protection system supplier
fire_station,Fire station
firearms_academy,Firearms academy
fireplace_manufacturer,Fireplace manufacturer
fireplace_store,Fireplace store
firewood_supplier,Firewood supplier
fireworks_store,Fireworks store
fireworks_supplier,Fireworks supplier
first_aid,First aid station
fish_and_chips_restaurant,Fish & chips restaurant
fish_and_chips_takeaway,Fish and chips takeaway
fish_farm,Fish farm
fish_processing,Fish processing
fish_restaurant,Fish restaurant
fish_spa,Fish spa
fish_store,Fish store
fishing_camp,Fishing camp
fishing_charter,Fishing charter
fishing_club,Fishing club
fishing_pier,Fishing pier
fishing_pond,Fishing pond
fishing_store,Fishing store
fitness_center,Fitness center
fitness_equipment_store,Exercise equipment store
fitness_equipment_wholesaler,Fitness equipment wholesaler
fitted_furniture_supplier,Fitted furniture supplier
fixed_base_operator,Fixed-base operator
flag_store,Flag store
flamenco_dance_store,Flamenco dance store
flamenco_school,Flamenco school
flamenco_theater,Flamenco theater
flavours_fragrances_and_aroma_supplier,Flavours fragrances and aroma supplier
flea_market,Flea market
flight_school,Flight school
floating_market,Floating market
floor_refinishing_service,Floor refinishing service
floor_sanding_and_polishing_service,Floor sanding and polishing service
flooring_contractor,Flooring contractor
flooring_store,Flooring store
floridian_restaurant,Floridian restaurant
florist,Florist
flour_mill,Flour mill
flower_delivery,Flower delivery
flower_designer,Flower designer
flower_market,Flower market
fmcg_goods_wholesaler,FMCG goods wholesaler
fmcg_manufacturer,FMCG manufacturer
foam_rubber_producer,Foam rubber producer
foam_rubber_supplier,Foam rubber supplier
folk_high_school,Folk high school
fondue_restaurant,Fondue restaurant
food_and_beverage_consultant,Food and beverage consultant
food_and_beverage_exporter,Food and beverage exporter
food_bank,Food bank
food_broker,Food broker
food_court,Food court
food_machinery_supplier,Food machinery supplier
food_manufacturer,Food manufacturer
food_manufacturing_supply,Food manufacturing supply
food_processing_company,Food processing company
food_processing_equipment,Food processing equipment
food_producer,Food producer
food_products_supplier,Food products supplier
food_seasoning_manufacturer,Food seasoning manufacturer
foot_bath,Foot bath
foot_care,Foot care
foot_massage_parlor,Foot massage parlor
football_club,Football club
football_field,American football field
ford_dealer,Ford dealer
foreclosure_service,Foreclosure service
foreign_consulate,Foreign consulate
foreign_exchange_students_organization,Foreign exchange students organization
foreign_languages_program_school,Foreign languages program school
foreign_trade_consultant,Foreign trade consultant
foreman_builders_association,Foreman builders association
forensic_consultant,Forensic consultant
forestry_service,Forestry service
forklift_dealer,Forklift dealer
forklift_rental_service,Forklift rental service
formal_clothing_store,Formal wear store
fortress,Fortress
fortune_telling_services,Fortune telling services
foster_care_service,Foster care service
foundation,Foundation
foundry,Foundry
fountain_contractor,Fountain contractor
foursquare_church,Foursquare church
franconian_restaurant,Franconian restaurant
fraternal_organization,Fraternal organization
free_clinic,Free clinic
free_parking_lot,Free parking lot
freestyle_wrestling,Freestyle wrestling
freight_forwarding_service,Freight forwarding service
french_language_school,French language school
french_restaurant,French restaurant
french_steakhouse_restaurant,French steakhouse restaurant
fresh_food_market,Fresh food market
fried_chicken_takeaway,Fried chicken takeaway
friends_church,Friends church
frituur,Frituur
frozen_dessert_supplier,Frozen dessert supplier
frozen_food_manufacturer,Frozen food manufacturer
frozen_food_store,Frozen food store
frozen_yogurt_shop,Frozen yogurt shop
fruit_and_vegetable_processing,Fruit and vegetable processing
fruit_and_vegetable_store,Fruit and vegetable store
fruit_and_vegetable_wholesaler,Fruit and vegetable wholesaler
fruit_parlor,Fruit parlor
fruit_wholesaler,Fruit wholesaler
fruits_wholesaler,Fruits wholesaler
fu_jian_restaurant,Fujian restaurant
fuel_supplier,Fuel supplier
fugu_restaurant,Fugu restaurant
full_dress_rental_service,Full dress rental service
full_gospel_church,Full Gospel church
function_room_facility,Function room facility
fund_management_company,Fund management company
funeral_celebrant_service,Funeral celebrant service
funeral_director,Funeral director
funeral_home,Funeral home
fur_coat_shop,Fur coat shop
fur_manufacturer,Fur manufacturer
fur_service,Fur service
furnace_parts_supplier,Furnace parts supplier
furnace_repair_service,Furnace repair service
furnace_store,Furnace store
furnished_apartment_building,Furnished apartment building
furniture_accessories,Furniture accessories
furniture_accessories_supplier,Furniture accessories supplier
furniture_maker,Furniture maker
furniture_manufacturer,Furniture manufacturer
furniture_rental_service,Furniture rental service
furniture_repair_shop,Furniture repair shop
furniture_store,Furniture store
furniture_wholesaler,Furniture wholesaler
fusion_restaurant,Fusion restaurant
futon_store,Futon store
futsal_field,Futsal court
galician_restaurant,Galician restaurant
gambling_house,Gambling house
gambling_instructor,Gambling instructor
game_store,Game store
garage_builder,Garage builder
garage_door_supplier,Garage door supplier
garbage_collection_service,Garbage collection service
garbage_dump,Garbage dump
garbage_dump_service,Garbage dump service
garden,Garden
garden_building_retail,Garden building supplier
garden_center,Garden center
garden_furniture_store,Garden furniture shop
gardener,Gardener
garment_exporter,Garment exporter
gas_company,Gas company
gas_cylinders_supplier,Gas cylinders supplier
gas_engineer,Gas engineer
gas_installation_service,Gas installation service
gas_logs_supplier,Gas logs supplier
gas_shop,Gas shop
gas_station,Gas station
gasfitter,Gasfitter
gasket_manufacturer,Gasket manufacturer
gastroenterologist,Gastroenterologist
gastrointestinal_surgeon,Gastrointestinal surgeon
gastropub,Gastropub
gated_community,Gated community
gay_and_lesbian_organization,Gay & lesbian organization
gay_bar,Gay bar
gay_night_club,Gay night club
gay_sauna,Gay sauna
gazebo_builder,Gazebo builder
gemologist,Gemologist
genealogist,Genealogist
general_contractor,General contractor
general_education_school,General education school
general_hospital,General hospital
general_practice_attorney,General practice attorney
general_practitioner,General practitioner
general_register_office,General register office
general_store,General store
generator_shop,Generator shop
genesis_dealer,Genesis dealer
geography_and_history_faculty,Geography and history faculty
geological_research_company,Geological research company
geological_service,Geological service
geologist,Geologist
georgian_restaurant,Georgian restaurant
geotechnical_engineer,Geotechnical engineer
geriatrician,Geriatrician
german_language_school,German language school
german_restaurant,German restaurant
ghost_town,Ghost town
gift_basket_store,Gift basket store
gift_shop,Gift shop
gift_wrap_store,Gift wrap store
girl_bar,Girl bar
girls_secondary_school,Girls' high school
glass_and_mirror_shop,Glass & mirror shop
glass_block_supplier,Glass block supplier
glass_blower,Glass blower
glass_cutting_service,Glass cutting service
glass_engraving,Glass engraver
glass_etching_service,Glass etching service
glass_industry,Glass industry
glass_manufacturer,Glass manufacturer
glass_merchant,Glass merchant
glass_repair_service,Glass repair service
glass_shop,Glass shop
glasses_repair_service,Glasses repair service
glassware_manufacturer,Glassware manufacturer
glassware_store,Glassware store
glassware_wholesaler,Glassware wholesaler
glazier,Glazier
gluten_free_restaurant,Gluten-free restaurant
gmc_dealer,GMC dealer
go_kart_track,Go-kart track
goan_restaurant,Goan restaurant
gold_dealer,Gold dealer
gold_mining_company,Gold mining company
goldfish_store,Goldfish store
goldsmith,Goldsmith
golf_cart_dealer,Golf cart dealer
golf_club,Golf club
golf_course,Golf course
golf_course_builder,Golf course builder
golf_driving_range,Golf driving range
golf_instructor,Golf instructor
golf_shop,Golf shop
gospel_church,Gospel church
gourmet_grocery_store,Gourmet grocery store
government_college,Government college
government_economic_program,Government economic program
government_hospital,Government hospital
government_office,Government office
government_ration_shop,Government ration shop
government_school,Government school
gps_supplier,GPS supplier
graduate_school,Graduate school
graffiti_removal_service,Graffiti removal service
grain_elevator,Grain elevator
grammar_school,Grammar school
granite_supplier,Granite supplier
graphic_designer,Graphic designer
gravel_pit,Gravel pit
gravel_plant,Gravel plant
greco_roman_wrestling,Greco-Roman wrestling
greek_orthodox_church,Greek Orthodox church
greek_restaurant,Greek restaurant
green_energy_supplier,Green energy supplier
green_grocers,Greengrocer
greenhouse,Greenhouse
greeting_card_shop,Greeting card shop
greyhound_stadium,Greyhound stadium
grill_store,Grill store
grocery_delivery_service,Grocery delivery service
grocery_store,Grocery store
ground_self_defense_force,Ground self defense force
group_home,Group home
guardia_civil,Guardia Civil
guardia_di_finanza_police,Guardia Di Finanza Police
guatemalan_restaurant,Guatemalan restaurant
guest_house,Guest house
gui_zhou_restaurant,Guizhou restaurant
guitar_instructor,Guitar instructor
guitar_store,Guitar store
gujarati_restaurant,Gujarati restaurant
gun_club,Gun club
gun_shop,Gun shop
guts_barbecue_restaurant,Offal barbecue restaurant
gutter_cleaning_service,Gutter cleaning service
gym,Gym
gymnasium_school,Gymnasium school
gymnastics_center,Gymnastics center
gymnastics_club,Gymnastics club
gynecologist,Obstetrician-gynecologist
gynecologist_only,Gynecologist
gypsum_product_supplier,Gypsum product supplier
gyro_restaurant,Gyro restaurant
haberdashery,Haberdashery
hair_extension_technician,Hair extension technician
hair_extensions_supplier,Hair extensions supplier
hair_removal_service,Hair removal service
hair_replacement_service,Hair replacement service
hair_salon,Hair salon
hair_transplantation_clinic,Hair transplantation clinic
haitian_restaurant,Haitian restaurant
hakka_restaurant,Hakka restaurant
halal_restaurant,Halal restaurant
haleem_restaurant,Haleem restaurant
halfway_house,Halfway house
ham_shop,Ham shop
hamburger_restaurant,Hamburger restaurant
hammam,Hammam
hand_surgeon,Hand surgeon
handbags_shop,Handbags shop
handball_club,Handball club
handball_court,Handball court
handicapped_transportation_service,Handicapped transportation service
handicraft,Handicraft
handicraft_exporter,Handicraft exporter
handicraft_fair,Handicraft fair
handicraft_museum,Handicraft museum
handicraft_school,Handicraft school
handicrafts_wholesaler,Handicrafts wholesaler
handyman,Handyman/Handywoman/Handyperson
hang_gliding_center,Hang gliding center
hardware_store,Hardware store
hardware_training_institute,Hardware training institute
harley_davidson_dealer,Harley-Davidson dealer
hat_shop,Hat shop
haunted_house,Haunted house
hauptschule,Hauptschule (lower-tier secondary school)
haute_couture_fashion_house,Haute couture fashion house
haute_french_restaurant,Haute French restaurant
hawaiian_goods_store,Hawaiian goods store
hawaiian_restaurant,Hawaiian restaurant
hawker_centre,Hawker centre
hawker_stall,Hawker stall
hay_supplier,Hay supplier
head_start_center,Head start center
health_and_beauty_shop,Health and beauty shop
health_consultant,Health consultant
health_counselor,Health counselor
health_food_restaurant,Health food restaurant
health_food_store,Health food store
health_insurance_agency,Health insurance agency
health_resort,Health resort
health_spa,Health spa
hearing_aid_repair_service,Hearing aid repair service
hearing_aid_store,Hearing aid store
heart_hospital,Heart hospital
heating_contractor,Heating contractor
heating_equipment_supplier,Heating equipment supplier
heating_oil_supplier,Heating oil supplier
height_works,Height works
helicopter_charter,Helicopter charter
helicopter_tour_agency,Helicopter tour agency
heliport,Heliport
helium_gas_supplier,Helium gas supplier
helpline,Helpline
hematologist,Hematologist
hepatologist,Hepatologist
herb_shop,Herb shop
herbal_medicine_store,Herbal medicine store
herbalist,Herbalist
heritage_building,Heritage building
heritage_museum,Heritage museum
heritage_preservation,Heritage preservation
heritage_railroad,Heritage railroad
high_ropes_course,High ropes course
high_school,High school
higher_secondary_school,Higher secondary school
highway_patrol,Highway patrol
hiking_area,Hiking area
hindu_priest,Hindu priest
hindu_temple,Hindu temple
hip_hop_dance_class,Hip hop dance class
hispanic_church,Hispanic church
historical_landmark,Historical landmark
historical_place_museum,Historical place museum
historical_society,Historical society
history_museum,History museum
hiv_testing_center,HIV testing center
hoagie_restaurant,Hoagie restaurant
hobby_store,Hobby store
hockey_club,Hockey club
hockey_field,Hockey field
hockey_rink,Hockey rink
hockey_supply_store,Hockey supply store
holding_company,Holding company
holiday_apartment_rental,Holiday apartment rental
holiday_home,Holiday home
holistic_medicine_practitioner,Holistic medicine practitioner
home_automation_company,Home automation company
home_builder,Home builder
home_cinema_installation,Home cinema installation
home_goods_store,Home goods store
home_hairdresser,Home hairdresser
home_health_care_service,Home health care service
home_help,Home help
home_help_service_agency,Home help service agency
home_improvement_store,Home improvement store
home_inspector,Home inspector
home_insurance_agency,Home insurance agency
home_theater_store,Home theater store
homekill_service,Homekill service
homeless_service,Homeless service
homeless_shelter,Homeless shelter
homeopath,Homeopath
homeopathic_pharmacy,Homeopathic pharmacy
homeowners_association,Homeowners' association
honda_dealer,Honda dealer
