gcid,Category
asphalt_contractor,Asphalt contractor
asphalt_mixing_plant,Asphalt mixing plant
assamese_restaurant,Assamese restaurant
assemblies_of_god_church,Assemblies of God church
assembly_room,Assembly room
assistante_maternelle,Assistante maternelle
assisted_living_facility,Assisted living facility
association_or_organization,Association or organization
aston_martin_dealer,Aston Martin dealer
astrologer,Astrologer
asturian_restaurant,Asturian restaurant
athletic_club,Athletic club
athletic_field,Athletic field
athletic_park,Athletic park
athletic_track,Athletic track
atm,ATM
attorney_referral_service,Attorney referral service
atv_dealer,ATV dealer
atv_rental_service,ATV rental service
atv_repair_shop,ATV repair shop
auction_house,Auction house
audi_dealer,Audi dealer
audio_visual_consultant,Audio visual consultant
audio_visual_equipment_rental_service,Audiovisual equipment rental service
audio_visual_equipment_repair_service,Audio visual equipment repair service
audio_visual_equipment_supplier,Audio visual equipment supplier
audiologist,Audiologist
auditor,Auditor
auditorium,Auditorium
australian_goods_store,Australian goods store
australian_restaurant,Australian restaurant
austrian_restaurant,Austrian restaurant
auto_accessories_wholesaler,Auto accessories wholesaler
auto_air_conditioning_service,Auto air conditioning service
auto_auction,Auto auction
auto_body_parts_supplier,Auto body parts supplier
auto_body_shop,Auto body shop
auto_bodywork_mechanic,Auto bodywork mechanic
auto_broker,Auto broker
auto_chemistry_shop,Auto chemistry shop
auto_dent_removal_service,Auto dent removal service
auto_electrical_service,Auto electrical service
auto_glass_repair_service,Auto glass repair service
auto_glass_shop,Auto glass shop
auto_insurance_agency,Auto insurance agency
auto_machine_shop,Auto machine shop
auto_market,Auto market
auto_painting,Auto painting
auto_parts_manufacturer,Auto parts manufacturer
auto_parts_market,Auto parts market
auto_parts_store,Auto parts store
auto_radiator_repair_service,Auto radiator repair service
auto_repair_shop,Auto repair shop
auto_restoration_service,Auto restoration service
auto_rickshaw_stand,Auto rickshaw stand
auto_spring_shop,Auto spring shop
auto_sunroof_shop,Auto sunroof shop
auto_tag_agency,Auto tag agency
auto_tune_up_service,Auto tune up service
auto_upholsterer,Auto upholsterer
auto_window_tinting_service,Auto window tinting service
auto_wrecker,Auto wrecker
automation_company,Automation company
automobile_storage_facility,Automobile storage facility
aviation_consultant,Aviation consultant
aviation_training_institute,Aviation training institute
awadhi_restaurant,Awadhi restaurant
awning_supplier,Awning supplier
ayam_penyet_restaurant,Ayam penyet restaurant
ayurvedic_clinic,Ayurvedic clinic
baby_clothing_store,Baby clothing store
baby_store,Baby store
baby_swimming_school,Baby swimming school
babysitter,Childminder
baden_restaurant,Baden restaurant
badminton_club,Badminton club
badminton_complex,Badminton complex
badminton_court,Badminton court
bag_shop,Bag shop
bagel_shop,Bagel shop
bahai_house_of_worship,Bahá'í house of worship
bail_bonds_service,Bail bonds service
bait_shop,Bait shop
bakery,Bakery
bakery_equipment,Bakery equipment
baking_supply_store,Baking supply store
bakso_restaurant,Bakso restaurant
balinese_restaurant,Balinese restaurant
ballet_school,Ballet school
ballet_theater,Ballet theater
balloon_artist,Balloon artist
balloon_ride_tour_agency,Balloon ride tour agency
balloon_store,Balloon store
ballroom_dance_instructor,Ballroom dance instructor
band,Band
bangladeshi_restaurant,Bangladeshi restaurant
bangle_shop,Bangle Shop
bank,Bank
bankruptcy_attorney,Bankruptcy attorney
bankruptcy_service,Bankruptcy service
banner_store,Banner store
banquet_hall,Banquet hall
baptist_church,Baptist church
bar,Bar
bar_and_grill,Bar & grill
bar_pmu,Bar PMU
bar_restaurant_furniture_store,Bar restaurant furniture store
bar_stool_supplier,Bar stool supplier
bar_tabac,Bar tabac
barbecue_restaurant,Barbecue restaurant
barbecue_spots,Barbecue area
barber_school,Barber school
barber_shop,Barber shop
barber_supply_store,Barber supply store
bariatric_surgeon,Bariatric surgeon
bark_supplier,Bark supplier
barrel_supplier,Barrel supplier
barrister,Barrister
bartending_school,Bartending school
baseball_club,Baseball club
baseball_field,Baseball field
baseball_goods_store,Baseball goods store
basilica,Basilica
basket_supplier,Basket supplier
basketball_club,Basketball club
basketball_court,Basketball court
basketball_court_contractor,Basketball court contractor
basque_restaurant,Basque restaurant
batak_restaurant,Batak restaurant
bathroom_remodeler,Bathroom remodeler
bathroom_supply_store,Bathroom supply store
batik_clothing_store,Batik clothing store
battery_manufacturer,Battery manufacturer
battery_store,Battery store
battery_wholesaler,Battery wholesaler
batting_cage_center,Batting cage center
bavarian_restaurant,Bavarian restaurant
bazar,Bazar
bbq_area,BBQ area
beach_cleaning_service,Beach cleaning service
beach_clothing_store,Beach clothing store
beach_entertainment_shop,Beach entertainment shop
beach_pavillion,Beach pavillion
beach_volleyball_club,Beach volleyball club
beach_volleyball_court,Beach volleyball court
bead_store,Bead store
bead_wholesaler,Bead wholesaler
bearing_supplier,Bearing supplier
beautician,Beautician
beauty_product_supplier,Beauty product supplier
beauty_products_vending_machine,Beauty products vending machine
